
Each line correspond to the number of bakers, each column to the number of ovens, the throughputs are in pizza/ms

NOvens     1        2          3         4         5         6        7         8          9        10 
NBakers 
1       0.104058, 0.104004, 0.104167, 0.103788, 0.104167, 0.104167, 0.104167, 0.104112, 0.104112, 0.104058 
2       0.150943, 0.208333, 0.208117, 0.208551, 0.208117, 0.206612, 0.208333, 0.208333, 0.208333, 0.207469 
3       0.180343, 0.299850, 0.309119, 0.310559, 0.310559, 0.310078, 0.309598, 0.310078, 0.310559, 0.310078 
4       0.180180, 0.359066, 0.396040, 0.415800, 0.414938, 0.415800, 0.415800, 0.415800, 0.415800, 0.415800 
5       0.179372, 0.359066, 0.446429, 0.496278, 0.519481, 0.519481, 0.519481, 0.518135, 0.518135, 0.518135 
6       0.179372, 0.357143, 0.531915, 0.593472, 0.593472, 0.611621, 0.609756, 0.609756, 0.609756, 0.609756
7       0.179372, 0.359066, 0.533333, 0.677966, 0.687285, 0.694444, 0.714286, 0.714286, 0.716846, 0.714286
8       0.179533, 0.355240, 0.530504, 0.706714, 0.746269, 0.784314, 0.784314, 0.829876, 0.829876, 0.823045
9       0.179051, 0.357143, 0.529101, 0.706714, 0.869565, 0.877193, 0.877193, 0.873362, 0.900901, 0.904977
10      0.178731, 0.356506, 0.529101, 0.706714, 0.881057, 0.904977, 0.970874, 0.975610, 0.975610, 1.030928 
